location,clinic_name,day,time_blocks,notes,is_closed
Ang Mo Kio,Beacon Clinic and Surgery,Sat,9:00am - 9:00pm,,false
Ang Mo Kio,Beacon Clinic and Surgery,Sun,9:00am - 9:00pm,,false
Ang Mo Kio,Beacon Clinic and Surgery,PH,9:00am - 9:00pm,,false
Ang Mo Kio,DA Clinic @ Ang Mo Kio,Mon,8:00am - 12:00am,,false
Ang Mo Kio,DA Clinic @ Ang Mo Kio,Tues,8:00am - 12:00am,,false
Ang Mo Kio,DA Clinic @ Ang Mo Kio,Wed,8:00am - 12:00am,,false
Ang Mo Kio,DA Clinic @ Ang Mo Kio,Thurs,8:00am - 12:00am,,false
Ang Mo Kio,DA Clinic @ Ang Mo Kio,Fri,8:00am - 12:00am,,false
Ang Mo Kio,DA Clinic @ Ang Mo Kio,Sat,8:00am - 12:00am,,false
Ang Mo Kio,DA Clinic @ Ang Mo Kio,Sun,8:00am - 12:00am,,false
Ang Mo Kio,DA Clinic @ Ang Mo Kio,PH,,Please call the clinic to confirm,false
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),Mon,8:30am - 4:30pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),Tues,8:30am - 4:30pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),Wed,8:30am - 4:30pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),Thurs,8:30am - 1:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),Fri,8:30am - 4:30pm,,false
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),Sat,8:30am - 1:00pm,,false
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),Sun,,Closed,true
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),PH,,Closed,true
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),Mon,9:00am - 1:00pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),Tues,9:00am - 1:00pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),Wed,9:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),Thurs,9:00am - 12:30pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),Fri,9:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),Sat,9:00am - 1:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),Sun,9:00am - 1:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),PH,9:00am - 1:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),Mon,8:00am - 3:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),Tues,8:00am - 3:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),Wed,8:00am - 3:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),Thurs,8:00am - 3:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),Fri,8:00am - 3:00pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),Sat,8:30am - 12:30pm,,false
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),Sun,,Closed,true
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),PH,,Closed,true
Ang Mo Kio,Intemedical Teck,Mon,8:00am - 10:00pm,,false
Ang Mo Kio,Intemedical Teck,Tues,8:00am - 10:00pm,,false
Ang Mo Kio,Intemedical Teck,Wed,8:00am - 10:00pm,,false
Ang Mo Kio,Intemedical Teck,Thurs,8:00am - 10:00pm,,false
Ang Mo Kio,Intemedical Teck,Fri,8:00am - 10:00pm,,false
Ang Mo Kio,Intemedical Teck,Sat,8:00am - 10:00pm,,false
Ang Mo Kio,Gee,PH,8:00am - 10:00pm,,false
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),Mon,8:00am - 8:00pm,,false
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),Tues,8:00am - 8:00pm,,false
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),Wed,8:00am - 8:00pm,,false
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),Thurs,8:00am - 8:00pm,,false
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),Fri,8:00am - 8:00pm,,false
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),Sat,8:00am - 8:00pm,,false
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),Sun,8:00am - 8:00pm,,false
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),PH,8:00am - 8:00pm,,false
Ang Mo Kio,Ki Medical Clinic,Mon,8:00am - 12:00pm | 2:30pm - 4:30pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Ki Medical Clinic,Tues,8:00am - 12:00pm | 2:30pm - 4:30pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Ki Medical Clinic,Wed,8:00am - 12:00pm | 2:30pm - 4:30pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Ki Medical Clinic,Thurs,8:00am - 12:00pm | 2:30pm - 4:30pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Ki Medical Clinic,Fri,8:00am - 12:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Ki Medical Clinic,Sat,8:00am - 12:00pm | 6:00pm - 8:30pm,,false
Ang Mo Kio,Ki Medical Clinic,Sun,8:00am - 12:00pm | 6:00pm - 8:30pm,,false
Ang Mo Kio,Ki Medical Clinic,PH,8:00am - 12:00pm,(Only on selected PH - To call the clinic to confirm),false
Ang Mo Kio,Pancare Medical Clinic (Ang Mo Kio),Mon,8:00am - 1:00pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Pancare Medical Clinic (Ang Mo Kio),Tues,8:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Pancare Medical Clinic (Ang Mo Kio),Wed,8:00am - 1:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Pancare Medical Clinic (Ang Mo Kio),Thurs,8:00am - 1:00pm | 6:00pm - 9:00pm,,false
Ang Mo Kio,Pancare Medical Clinic (Ang Mo Kio),Fri,8:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Pancare Medical Clinic (Ang Mo Kio),Sat,8:00am - 1:00pm,,false
Ang Mo Kio,Pancare Medical Clinic (Ang Mo Kio),Sun,8:00am - 1:00pm,,false
Ang Mo Kio,Pancare Medical Clinic (Ang Mo Kio),PH,8:00am - 1:00pm,,false
Ang Mo Kio,Procare GP Clinic Mayflower,Mon,8:00am - 2:00pm | 6:00pm - 9:00pm | 8:00am - 1:00pm,(WhatsApp Only) Sun & PH:,false
Ang Mo Kio,Procare GP Clinic Mayflower,Tues,8:00am - 2:00pm | 6:00pm - 9:00pm | 8:00am - 1:00pm,(WhatsApp Only) Sun & PH:,false
Ang Mo Kio,Procare GP Clinic Mayflower,Wed,8:00am - 2:00pm | 6:00pm - 9:00pm | 8:00am - 1:00pm,(WhatsApp Only) Sun & PH:,false
Ang Mo Kio,Procare GP Clinic Mayflower,Thurs,8:00am - 2:00pm | 6:00pm - 9:00pm | 8:00am - 1:00pm,(WhatsApp Only) Sun & PH:,false
Ang Mo Kio,Procare GP Clinic Mayflower,Fri,8:00am - 2:00pm | 6:00pm - 9:00pm | 8:00am - 1:00pm,(WhatsApp Only) Sun & PH:,false
Ang Mo Kio,Procare GP Clinic Mayflower,Sat,,Closed,true
Ang Mo Kio,SATA CommHealth Medical Centre (Ang Mo Kio),Mon,8:30am - 12:30pm | 1:30pm - 5:00pm,,false
Ang Mo Kio,SATA CommHealth Medical Centre (Ang Mo Kio),Tues,8:30am - 12:30pm | 1:30pm - 5:00pm,,false
Ang Mo Kio,SATA CommHealth Medical Centre (Ang Mo Kio),Wed,8:30am - 12:30pm | 1:30pm - 5:00pm,,false
Ang Mo Kio,SATA CommHealth Medical Centre (Ang Mo Kio),Thurs,8:30am - 12:30pm | 1:30pm - 5:00pm,,false
Ang Mo Kio,SATA CommHealth Medical Centre (Ang Mo Kio),Fri,8:30am - 12:30pm | 1:30pm - 5:00pm,,false
Ang Mo Kio,SATA CommHealth Medical Centre (Ang Mo Kio),Sat,8:30am - 1:00pm,,false
Ang Mo Kio,SATA CommHealth Medical Centre (Ang Mo Kio),Sun,,Closed,true
Ang Mo Kio,SATA CommHealth Medical Centre (Ang Mo Kio),PH,,Closed,true
Ang Mo Kio,Summit Medical Clinic,Mon,8:30am - 12:30pm | 1:30pm - 3:30pm,,false
Ang Mo Kio,Summit Medical Clinic,Tues,8:30am - 12:30pm | 1:30pm - 3:30pm,,false
Ang Mo Kio,Summit Medical Clinic,Wed,8:30am - 12:30pm | 1:30pm - 3:30pm,,false
Ang Mo Kio,Summit Medical Clinic,Thurs,8:30am - 12:30pm | 1:30pm - 3:30pm,,false
Ang Mo Kio,Summit Medical Clinic,Fri,8:30am - 12:30pm | 1:30pm - 3:30pm,,false
Ang Mo Kio,Summit Medical Clinic,Sat,8:30am - 12:30pm,,false
Ang Mo Kio,Summit Medical Clinic,Sun,,Closed,true
Ang Mo Kio,Summit Medical Clinic,PH,,Closed,true
Ang Mo Kio,Trust Health Medical,Mon,9:00am - 12:30pm | 1:30pm - 4:30pm,,false
Ang Mo Kio,Trust Health Medical,Tues,9:00am - 12:30pm | 1:30pm - 4:30pm,,false
Ang Mo Kio,Trust Health Medical,Wed,9:00am - 12:30pm | 1:30pm - 4:30pm,,false
Ang Mo Kio,Trust Health Medical,Thurs,9:00am - 12:30pm | 1:30pm - 4:30pm,,false
Ang Mo Kio,Trust Health Medical,Fri,9:00am - 12:30pm | 1:30pm - 4:30pm,,false
Ang Mo Kio,Trust Health Medical,Sat,9:00am - 1:00pm,,false
Ang Mo Kio,Trust Health Medical,Sun,,Closed,true
Ang Mo Kio,Trust Health Medical,PH,,Closed,true
Ang Mo Kio,Vital-Care Clinic & Surgery Pte Ltd,Mon,8:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Vital-Care Clinic & Surgery Pte Ltd,Tues,8:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Vital-Care Clinic & Surgery Pte Ltd,Wed,8:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Vital-Care Clinic & Surgery Pte Ltd,Thurs,8:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Vital-Care Clinic & Surgery Pte Ltd,Fri,8:00am - 1:00pm | 2:00pm - 5:00pm,,false
Ang Mo Kio,Vital-Care Clinic & Surgery Pte Ltd,Sat,8:00am - 12:30pm,,false
Ang Mo Kio,Vital-Care Clinic & Surgery Pte Ltd,Sun,,Closed,true
Ang Mo Kio,Vital-Care Clinic & Surgery Pte Ltd,PH,,Closed,true
Ang Mo Kio,Well Family Clinic & Surgery,Mon,9:00am - 10:00pm,,false
Ang Mo Kio,Well Family Clinic & Surgery,Tues,9:00am - 10:00pm,,false
Ang Mo Kio,Well Family Clinic & Surgery,Wed,9:00am - 10:00pm,,false
Ang Mo Kio,Well Family Clinic & Surgery,Thurs,9:00am - 10:00pm,,false
Ang Mo Kio,Well Family Clinic & Surgery,Fri,9:00am - 10:00pm,,false
Ang Mo Kio,Well Family Clinic & Surgery,Sat,9:00am - 10:00pm,,false
Ang Mo Kio,Well Family Clinic & Surgery,Sun,9:00am - 10:00pm,,false
Ang Mo Kio,Well Family Clinic & Surgery,PH,9:00am - 10:00pm,,false
Ang Mo Kio,1 Medical Teck Ghee,Mon,7:00am - 11:00pm,,false
Ang Mo Kio,1 Medical Teck Ghee,Tues,7:00am - 11:00pm,,false
Ang Mo Kio,1 Medical Teck Ghee,Wed,7:00am - 11:00pm,,false
Ang Mo Kio,1 Medical Teck Ghee,Thurs,7:00am - 11:00pm,,false
Ang Mo Kio,1 Medical Teck Ghee,Fri,7:00am - 11:00pm,,false
Ang Mo Kio,1 Medical Teck Ghee,Sat,7:00am - 11:00pm,,false
Ang Mo Kio,1 Medical Teck Ghee,Sun,7:00am - 11:00pm,,false
Ang Mo Kio,1 Medical Teck Ghee,PH,7:00am - 1:00pm | 6:00pm - 11:00pm,,false
Balestier,Family Health Clinic & Surgery,Mon,9:00am - 12:30pm | 2:00pm - 5:30pm,,false
Balestier,Family Health Clinic & Surgery,Tues,9:00am - 12:30pm | 2:00pm - 5:30pm,,false
Balestier,Family Health Clinic & Surgery,Wed,9:00am - 12:30pm | 2:00pm - 5:30pm,,false
Balestier,Family Health Clinic & Surgery,Thurs,9:00am - 12:30pm | 2:00pm - 5:30pm,,false
Balestier,Family Health Clinic & Surgery,Fri,9:00am - 12:30pm | 2:00pm - 5:30pm,,false
Balestier,Family Health Clinic & Surgery,Sat,9:00am - 12:30pm,,false
Balestier,Family Health Clinic & Surgery,Sun,,Closed,true
Balestier,Family Health Clinic & Surgery,PH,,Closed,true
Balestier,Heal Medical Centre,Mon,9:00am - 5:00pm,,false
Balestier,Heal Medical Centre,Tues,9:00am - 5:00pm,,false
Balestier,Heal Medical Centre,Wed,9:00am - 5:00pm,,false
Balestier,Heal Medical Centre,Thurs,9:00am - 5:00pm,,false
Balestier,Heal Medical Centre,Fri,9:00am - 5:00pm,,false
Balestier,Heal Medical Centre,Sat,9:00am - 1:00pm,,false
Balestier,Heal Medical Centre,Sun,,Closed,true
Balestier,Heal Medical Centre,PH,,Closed,true
Balestier,Healthify Medical Family Clinic,Mon,8:30am - 1:00pm,,false
Balestier,Healthify Medical Family Clinic,Tues,8:30am - 1:00pm,,false
Balestier,Healthify Medical Family Clinic,Wed,8:30am - 1:00pm | 2:00pm - 5:00pm,,false
Balestier,Healthify Medical Family Clinic,Thurs,2:00pm - 5:00pm | 6:00pm - 8:30pm,,false
Balestier,Healthify Medical Family Clinic,Fri,8:30am - 1:00pm | 2:00pm - 5:00pm,,false
Balestier,Healthify Medical Family Clinic,Sat,8:30am - 1:00pm,,false
Balestier,Healthify Medical Family Clinic,Sun,,Closed,true
Balestier,Healthify Medical Family Clinic,PH,,Closed,true
Balestier,Livewell Medical Family Clinic,Mon,8:30am - 1:30pm | 6:00pm - 9:30pm,,false
Balestier,Livewell Medical Family Clinic,Tues,8:30am - 1:30pm,,false
Balestier,Livewell Medical Family Clinic,Wed,8:30am - 1:30pm | 6:00pm - 9:30pm,,false
Balestier,Livewell Medical Family Clinic,Thurs,8:30am - 1:00pm | 2:00pm - 5:30pm,,false
Balestier,Livewell Medical Family Clinic,Fri,8:30am - 1:30pm,,false
Balestier,Livewell Medical Family Clinic,Sat,6:30pm - 9:30pm,,false
Balestier,Livewell Medical Family Clinic,Sun,6:30pm - 9:30pm,,false
Balestier,Livewell Medical Family Clinic,PH,6:30pm - 9:30pm,(Only on selected PH - To call the clinic to confirm),false
Balestier,mydoctor@Balestier,Mon,8:30am - 1:00pm | 6:00pm - 9:00pm,,false
Balestier,mydoctor@Balestier,Tues,8:30am - 1:00pm | 6:00pm - 9:00pm,,false
Balestier,mydoctor@Balestier,Wed,8:30am - 1:00pm | 6:00pm - 9:00pm,,false
Balestier,mydoctor@Balestier,Thurs,8:30am - 1:00pm | 6:00pm - 9:00pm,,false
Balestier,mydoctor@Balestier,Fri,8:30am - 1:00pm | 6:00pm - 9:00pm,,false
Balestier,mydoctor@Balestier,Sat,8:30am - 12:30pm,,false
Balestier,mydoctor@Balestier,Sun,8:30am - 12:30pm,,false
Balestier,mydoctor@Balestier,PH,8:30am - 12:30pm,,false
Balestier,Oaklife Family Clinic,Mon,8:30am - 1:00pm | 4:00pm - 8:30pm,,false
Balestier,Oaklife Family Clinic,Tues,8:30am - 1:00pm | 4:00pm - 8:30pm,,false
Balestier,Oaklife Family Clinic,Wed,8:30am - 1:00pm | 4:00pm - 8:30pm,,false
Balestier,Oaklife Family Clinic,Thurs,8:30am - 1:00pm | 4:00pm - 8:30pm,,false
Balestier,Oaklife Family Clinic,Fri,8:30am - 1:00pm | 4:00pm - 8:30pm,,false
Balestier,Oaklife Family Clinic,Sat,8:30am - 1:00pm,,false
Balestier,Oaklife Family Clinic,Sun,5:00pm - 8:30pm,,false
Balestier,Oaklife Family Clinic,PH,,Closed,true
Balestier,Plushealth Medical Clinic & Surgery,Mon,8:30am - 12:30pm | 2:00pm - 4:30pm | 6:00pm - 9:00pm,,false
Balestier,Plushealth Medical Clinic & Surgery,Tues,8:30am - 12:30pm | 2:00pm - 4:30pm | 6:00pm - 9:00pm,,false
Balestier,Plushealth Medical Clinic & Surgery,Wed,8:30am - 12:30pm | 2:00pm - 4:30pm | 6:00pm - 9:00pm,,false
Balestier,Plushealth Medical Clinic & Surgery,Thurs,8:30am - 12:30pm | 2:00pm - 4:30pm | 6:00pm - 9:00pm,,false
Balestier,Plushealth Medical Clinic & Surgery,Fri,8:30am - 12:30pm | 2:00pm - 4:30pm,,false
Balestier,Plushealth Medical Clinic & Surgery,Sat,9:00am - 1:00pm,,false
Balestier,Plushealth Medical Clinic & Surgery,Sun,9:00am - 1:00pm,,false
Balestier,Plushealth Medical Clinic & Surgery,PH,,Closed,true
Bedok,Balkis Family Clinic,Mon,8:00am - 12:00pm | 2:00pm - 6:00pm,,false
Bedok,Balkis Family Clinic,Tues,8:00am - 12:00pm | 2:00pm - 6:00pm,,false
Bedok,Balkis Family Clinic,Wed,8:00am - 12:00pm | 2:00pm - 6:00pm,,false
Bedok,Balkis Family Clinic,Thurs,8:00am - 12:00pm | 2:00pm - 6:00pm,,false
Bedok,Balkis Family Clinic,Fri,9:00am - 12:00pm,,false
Bedok,Balkis Family Clinic,Sat,9:00am - 12:00pm,,false
Bedok,Balkis Family Clinic,Sun,9:00am - 12:00pm,,false
Bedok,Balkis Family Clinic,PH,,Closed,true
Bedok,Bedok Clinic and Surgery Family Medical Centre,Mon,9:30am - 1:00pm | 2:30pm - 5:00pm | 6:00pm - 8:00pm,,false
Bedok,Bedok Clinic and Surgery Family Medical Centre,Tues,9:30am - 1:00pm | 2:30pm - 5:00pm | 6:00pm - 8:00pm,,false
Bedok,Bedok Clinic and Surgery Family Medical Centre,Wed,9:30am - 1:00pm | 2:30pm - 5:00pm | 6:00pm - 8:00pm,,false
Bedok,Bedok Clinic and Surgery Family Medical Centre,Thurs,9:30am - 1:00pm | 2:30pm - 5:00pm | 6:00pm - 8:00pm,,false
Bedok,Bedok Clinic and Surgery Family Medical Centre,Fri,9:30am - 1:00pm | 2:30pm - 5:00pm | 6:00pm - 8:00pm,,false
Bedok,Bedok Clinic and Surgery Family Medical Centre,Sat,9:30am - 12:30pm,,false
Bedok,Bedok Clinic and Surgery Family Medical Centre,Sun,,Closed,true
Bedok,Bedok Clinic and Surgery Family Medical Centre,PH,,Closed,true
Bedok,Bok Family Clinic Pte Ltd,Mon,9:00am - 12:30pm | 3:00pm - 4:30pm | 8:00pm - 9:00pm,,false
Bedok,Bok Family Clinic Pte Ltd,Tues,9:00am - 12:30pm | 3:00pm - 4:30pm | 8:00pm - 9:00pm,,false
Bedok,Bok Family Clinic Pte Ltd,Wed,9:00am - 12:30pm | 3:00pm - 4:30pm | 8:00pm - 9:00pm,,false
Bedok,Bok Family Clinic Pte Ltd,Thurs,9:00am - 12:30pm | 3:00pm - 4:30pm | 8:00pm - 9:00pm,,false
Bedok,Bok Family Clinic Pte Ltd,Fri,9:00am - 12:30pm | 3:00pm - 4:30pm,,false
Bedok,Bok Family Clinic Pte Ltd,Sat,9:00am - 12:30pm,,false
Bedok,Bok Family Clinic Pte Ltd,Sun,9:00am - 12:30pm,,false
Bedok,Bok Family Clinic Pte Ltd,PH,,Closed,true
Bedok,Carelite Medical Clinic,Mon,8:30am - 1:00pm | 2:00pm - 5:00pm,,false
Bedok,Carelite Medical Clinic,Tues,8:30am - 1:00pm | 2:00pm - 5:00pm,,false
Bedok,Carelite Medical Clinic,Wed,8:30am - 1:00pm | 2:00pm - 5:00pm,,false
Bedok,Carelite Medical Clinic,Thurs,8:30am - 1:00pm | 2:00pm - 5:00pm,,false
Bedok,Carelite Medical Clinic,Fri,8:30am - 1:00pm | 2:00pm - 5:00pm,,false
Bedok,Carelite Medical Clinic,Sat,8:30am - 1:00pm,,false
Bedok,Carelite Medical Clinic,Sun,,Closed,true
Bedok,Carelite Medical Clinic,PH,,Closed,true
Bedok,Clinic@Costa,Mon,8:30am - 2:30pm,,false
Bedok,Clinic@Costa,Tues,8:30am - 2:30pm,,false
Bedok,Clinic@Costa,Wed,8:30am - 2:30pm,,false
Bedok,Clinic@Costa,Thurs,6:30pm - 9:00pm,,false
Bedok,Clinic@Costa,Fri,8:30am - 2:30pm,,false
Bedok,Clinic@Costa,Sat,8:30am - 1:00pm,,false
Bedok,Clinic@Costa,Sun,,Closed,true
Bedok,Clinic@Costa,PH,,Closed,true
Bedok,Eastern Medical Centre,Mon,8:30am - 1:00pm,,false
Bedok,Eastern Medical Centre,Tues,8:30am - 1:00pm,,false
Bedok,Eastern Medical Centre,Wed,8:30am - 1:00pm,,false
Bedok,Eastern Medical Centre,Thurs,2:00pm - 4:30pm,,false
Bedok,Eastern Medical Centre,Fri,8:30am - 1:00pm,,false
Bedok,Eastern Medical Centre,Sat,8:30am - 1:00pm,,false
Bedok,Eastern Medical Centre,Sun,,Closed,true
Bedok,Eastern Medical Centre,PH,,Closed,true
Bedok,EH Medical Family Clinic (Bedok South),Mon,8:30am - 2:00pm | 5:00pm - 9:30pm,,false
Bedok,EH Medical Family Clinic (Bedok South),Tues,8:30am - 2:00pm | 5:00pm - 9:30pm,,false
Bedok,EH Medical Family Clinic (Bedok South),Wed,8:30am - 2:00pm | 5:00pm - 9:30pm,,false
Bedok,EH Medical Family Clinic (Bedok South),Thurs,8:30am - 2:00pm | 5:00pm - 9:30pm,,false
Bedok,EH Medical Family Clinic (Bedok South),Fri,8:30am - 2:00pm,,false
Bedok,EH Medical Family Clinic (Bedok South),Sat,8:30am - 12:30pm,,false
Bedok,EH Medical Family Clinic (Bedok South),Sun,8:30am - 12:30pm,,false
Bedok,EH Medical Family Clinic (Bedok South),PH,,Closed,true
Bedok,Famicare Bedok Clinic,Mon,11:00am - 7:30pm | 10:00am - 4:30pm | 10:00am - 2:00pm,*Sat: *Sun:,false
Bedok,Famicare Bedok Clinic,Tues,11:00am - 7:30pm | 10:00am - 4:30pm | 10:00am - 2:00pm,*Sat: *Sun:,false
Bedok,Famicare Bedok Clinic,Wed,11:00am - 7:30pm | 10:00am - 4:30pm | 10:00am - 2:00pm,*Sat: *Sun:,false
Bedok,Famicare Bedok Clinic,Thurs,11:00am - 7:30pm | 10:00am - 4:30pm | 10:00am - 2:00pm,*Sat: *Sun:,false
Bedok,Famicare Bedok Clinic,Fri,11:00am - 7:30pm | 10:00am - 4:30pm | 10:00am - 2:00pm,*Sat: *Sun:,false
Bedok,Gryphon Medical Clinic,Mon,8:00am - 1:00pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Bedok,Gryphon Medical Clinic,Tues,8:00am - 1:00pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Bedok,Gryphon Medical Clinic,Wed,8:00am - 1:00pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Bedok,Gryphon Medical Clinic,Thurs,8:00am - 1:00pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Bedok,Gryphon Medical Clinic,Fri,8:00am - 1:00pm | 2:00pm - 5:00pm | 6:00pm - 9:00pm,,false
Bedok,Gryphon Medical Clinic,Sat,8:00am - 1:00pm,,false
Bedok,Gryphon Medical Clinic,Sun,8:00am - 1:00pm,,false
Bedok,Gryphon Medical Clinic,PH,8:00am - 1:00pm,,false
Bedok,Good Medical Clinic (Bedok North),Mon,8:00am - 12:00pm | 6:00pm - 10:00pm,,false
Bedok,Good Medical Clinic (Bedok North),Tues,8:00am - 12:00pm | 6:00pm - 10:00pm,,false
Bedok,Good Medical Clinic (Bedok North),Wed,8:00am - 12:00pm | 6:00pm - 10:00pm,,false
Bedok,Good Medical Clinic (Bedok North),Thurs,8:00am - 12:00pm | 6:00pm - 10:00pm,,false
Bedok,Good Medical Clinic (Bedok North),Fri,8:00am - 12:00pm | 6:00pm - 10:00pm,,false
Bedok,Good Medical Clinic (Bedok North),Sat,8:00am - 12:00pm | 6:00pm - 10:00pm,,false
Bedok,Good Medical Clinic (Bedok North),Sun,8:00am - 12:00pm | 6:00pm - 10:00pm,,false
Bedok,Good Medical Clinic (Bedok North),PH,8:00am - 12:00pm | 6:00pm - 10:00pm,,false
Bedok,Healthplus Clinic & Surgery (Bedok),Mon,9:00am - 1:00pm,,false
Bedok,Healthplus Clinic & Surgery (Bedok),Tues,9:00am - 1:00pm,,false
Bedok,Healthplus Clinic & Surgery (Bedok),Wed,9:00am - 1:00pm,,false
Bedok,Healthplus Clinic & Surgery (Bedok),Thurs,6:00pm - 9:00pm,,false
Bedok,Healthplus Clinic & Surgery (Bedok),Fri,9:00am - 1:00pm,,false
Bedok,Healthplus Clinic & Surgery (Bedok),Sat,9:00am - 1:00pm,,false
